"安徽一男子给狗取名""城管""，被行政拘留十日…                 ",这种繁体的……;这TMD口袋罪，早晚要废除它！罪刑法定路上的阻碍！;;,06月13日 04:49    ,rumor
广西南宁鸡村強拆，奔驰老板跟儿子被活活打死，他的死让我明白了这就是中國，我能做的也只有转发，让更多的人看到，走好，你是条汉子。城管也有2死，几个受伤。老爸先在自家楼顶被打死后儿子开车撞上几个城管后开车的是儿子也被打死了。希望新闻媒体尽到应有的责任，还事实一个真相，不要遮遮掩掩的,,2015/8/30 7:51,rumor
广西南宁鸡村強拆，奔驰老板跟儿子被活活打死，他的死让我明白了这就是中國，我能做的也只有转发，让更多的人看到，走好，你是条汉子。城管也有2死，几个受伤。老爸先在自家楼顶被打死后儿子开车撞上几个城管后开车的是儿子也被打死了。两命换两命。现在连家人还被派出所关着呢。希望新闻媒体尽到应有,,2015/9/1 15:41,rumor
南宁鸡村父子开多年宾馆。城管，黑衣强行拆迁，父亲被打死，儿子开奔驰撞黑衣，最终斗不过挖掘机，下车被几十黑衣活活打死！有关视频全部被封锁消息，比土匪还土匪！做鬼去杀他们吧～要是当时群众反抗、就不会冤死了，心痛啊！,？;？;恐怖;,2015/9/6 21:59,rumor
8月28日广西南宁鸡村強拆，奔驰老板跟儿子被活活打死，城管也有2死，几个受伤。老爸先在自家楼顶被打死后儿子开车撞上几个城管后开车的是儿子也被打死了。现在连家人还被派出所关着呢。希望社会关注..,为什么标志不真实！！！！！qq空间在狂转！我都不敢看下去！！！！！太心寒了！！！那这件事是不是真实存在！！！！！是什么才会把一个有房有奔驰的人逼上这条路！！！！！政府到底是怎么安排的，非要强拆，两败俱伤，伤民心，伤政府声誉;尤其城管拉去活烧！;把南宁市所以当官的全都拉去杀了！;,2015/9/11 6:54,rumor
广西南宁鸡村強拆，奔驰老板跟儿子被活活打死，这就是中國，我能做的也只有转发，让更多的人看到，走好，你是条汉子。城管也有2死，几个受伤。老爸先在自家楼顶被打死，儿子恼火开车撞城管！奔驰最终干不过挖掘机，儿子也被城管打死了。两命换两命。。。 中山·小榄镇,回复@TIMES801:原来你跟你妈是乱伦啊？ 😱原谅我有眼不识泰山，受教了。本姑娘的妈妈回来了，不用你担心了。;回复@用户5092111500:是吗，一般都是先清除你妈和你这样愚蠢的乱伦行为先吧;回复@KedaYInGi柯颖:视频我都看过了，朋友圈上也很多人转;,2015/8/31 21:32,rumor
南宁强拆现场上演“特色”而震撼的一幕，户主开奔驰撞击城管，被挖掘机一击凿停 http,有很多事是当地政府默许的。因为买地收入是政府财政的血管。他是在吸百姓的血。我们团结起来把吸血鬼赶走。;回复@Mr_uns:吃屎狗！五毛拿去给你治癌症;回复@Mr_uns:你是二狗子?有胆出来，我在鸡村等着，光脚不怕穿鞋的。;,2015/9/1 0:01,rumor
广西南宁鸡村強拆，奔驰老板跟儿子被活活打死，他的死让我明白了这就是中國，城管也有2死，几个受伤。老爸先在自家楼顶被打死后，儿子开车撞上几个城管后被拦截也被打死了。两命换两命。现在连家人还被派出所关着呢。希望新闻媒体尽到应有的责任，还事实一个真相，不要遮遮掩掩的 秒拍视频,难道录像会造假吗？;你们都太天真了 哪个拆迁滴不带几十个打砸滴      中国因为强买强拆打死滴老百姓还少吗 我只想说 有你妈本事去打那些贪官奸商去 或者去打钓鱼岛也可以 欺负老百姓或许就是我们中国人滴本事吧 要是换成打死我爸 我会买炸药炸死那些狗和奸商还有在背后给他们撑腰滴狗官  都尼玛去死吧;@蒋欣;,2015/9/1 5:32,rumor
广西南宁鸡村強拆，奔驰老板跟儿子被活活打死，城管也有2死，几个受伤。老爸先在自家楼顶被打死后儿子开车撞上几个城管后儿子也被打死了。两命换两命。现在连家人还被派出所关着呢。希望新闻媒体尽到应有的责任还事实一个真相，不要遮遮掩掩的就算违建也不能这么暴力执法。这么大栋楼违建时没人看见吗,网传公文为何说无人死亡？;,2015/8/31 1:27,rumor
#奔驰闯拆迁现场撞人# [xkl顶]实情[xkl顶]南宁市大鸡村，强拆博白佬的宾馆，打了博白佬的爹娘，然后博白佬开奔驰撞飞4个，当场死两 ，然后开奔驰的博白佬和他爸当场被拆迁办的几十打手拿砖头活活砸死 。几十上百人打一个已被控制手无寸铁的人！中国城管真棒哟！！,没人死啊？;,2015/8/29 18:08,rumor
#南宁鸡村强拆# 广西南宁鸡村強拆，奔驰老板跟儿子被活活打死，老爸先在自家楼顶被打死后儿子开车撞上几个城管后开车的是儿子也被打死了。希望新闻媒体尽到应有的责任，还事实一个真相，不要遮遮掩掩的。就算违建也不能这么暴力执法。这么大栋楼违建时没人看见吗？相关负责人呢？ 南宁·宾州镇,回复@刘先莹_:被打脸了吗？！弱智;回复@matina20011:我没脑 你有脑 但起码我知道不能乱传谣言 谢谢;回复@刘先莹_NINa:艹你有脑吗？！;,2015/8/31 8:59,rumor
广西南宁鸡村強拆，奔驰老板跟儿子被活活打死，城管也有2死，几个受伤。老爸先在自家楼顶被打死后儿子开车撞上几个城管后开车的是儿子也被打死了。@八桂直播 为什么没见有记者曝光？ 秒拍视频 .,昨天在朋友圈看到的，这是发生了什么@人民日报  @中国青年报  南宁梁村;现在共产党跟以前日本没有什么区别;现在共产党跟以前日本没有什么区别;,2015/8/30 15:31,rumor
这是发生在广西南宁的城中村！城管执法强拆打死了居民！老人！谁给你们这种权利！打死人家父母！[发怒]中国城管！你他妈是军队吗？谁给你暴力执法的权利！[发怒]求转发！广西已经封锁了这个事情！很多人都不知道！一群城管把平民百姓打到不动了！才停手！导致四死一重伤！                 ,事发地点就在我公司附近，当时伤者被打到不动弹，医院抢救结果我们并不知道，大家都说死了，我才发微博的，后面知道抢救了没有死也在微博评论中说明！打人本来就是确实的事情！不可能因为人没有死，这些过失就不算了！太可笑了！;现在近一步了解到被打奔驰车主并没有死，受重伤、城管跟国土局的人也有几个受重伤;回复@加藤威威威威威威威威:看到了;,2015/8/29 11:08,rumor
#天津塘沽大爆炸#看到一篇文章，真心不愿相信，红十字会联合城管抢物资?如果真实，真应该炸你全家，太愤怒了……,回复@老--牛:你全家都是废物  蛐蛐;回复@沈小寂:看你这张脸就不会去做志愿者;我也不希望是真的  如果是真的  太可耻了;,2015/8/16 19:23,rumor
#天津滨海爆炸#红十会和城管绝B的不要脸了，竟然当场扣押个人的捐款物资，充公了，说是他们的了，说如果拿走就算偷，那些好心志愿者特别悲痛，我想说红十会和城管你们是魔鬼吗？为什么大家讨厌你们，为什么不捐款给你们，你们不反思改过，竟然变本加厉，我想说你们是国家的毒瘤！,被举报，劳资也是醉了;已经有开发区记者辟谣了，甭用您添乱;拍视频上传，大家会支持你的;,2015/8/17 10:00,rumor
一位爆炸后凌晨赶到天津滨海的北京志愿者说：“现场所有物资都是我们买来的，用自己的车运来的，现在红十字会和城管要联合执法，抢走我们的物资纳入红十字会名下，强行算作我们捐给红十字会。”#天津塘沽大爆炸# http,你举报，我截屏，照样可以发;太寒心了！！！;政府这次太让人寒心了，小胳膊拧不过大腿;,2015/8/16 9:25,rumor
我们在一线，不顾生死，不知疲倦，第一时间出资出力，城管在哪里？现在领导来检查，抢我物资，拆我帐篷，打我志愿者，人性何在，天理不容。天津万众势必维权到底。@介似天津卫 @奏耐天津,造谣为啥没销号？【网传城管队员抢东西 实为帮助志愿者搬运物品】http://t.cn/Ry2oUjI%A;这是李总理即将到来之前的事;哪里不实了？我朋友在塘沽做自愿者的也亲身经历，也是这么说的;,2015/8/16 8:32,rumor
“现场所有物资都是我们买来的，用自己的车运来的，现在红十字会和城管要联合执法，抢走我们的物资纳入红十字会名下，强行算作我们捐给红十字会的。” 天津爆炸惊魂：3天后，3公里内,此内容违规。。;不信。;言语无法形容的无耻。;,2015/8/16 9:09,rumor
为什么城管把物资都给抢了  城管这时候又牛逼了？很多一线的志愿者反映 一线的战士根本没有接受到物资 请问这些天大家送的物资都去哪了？ @奏耐天津  现在物资的去向清楚么？,,2015/8/15 18:43,rumor
#大嘴说事#天津红十字好威武天津城管好牛B马拉个币                 ,回复@太空堡垒自由号:;根据@头条新闻 【风暴眼：武长顺涉案74亿，中国贪官直逼百亿大关？】天津原公安局长武长顺涉案金额74亿令人震惊。#大嘴说事# 一个伍长顺就已经足够本次损失的赔偿了，还需要市民捐款捐物吗？？大家不要自做多情了！;回复@好物大王:;,2015/8/16 9:32,rumor
在微信看到有人发图 说：“城管和红十字会抢物资” 还觉得不明真相 红十字会现在连基本的体面都不要了！ 天津爆炸惊魂：3天后，3公里内,,2015/8/16 6:06,rumor
现场所有物资都是我们买的，用自己的车运来，现在红十字会和城管要联合执法，抢走我们的物资纳入红十字会名下，强行算作我们捐给红十字会。这些东西是我们的，按说我们可以把东西搬走，但是他们不让，说如果我们强行搬走，就是偷，偷物资。 天津爆炸惊魂：3天后，3公里内,既然你们觉得不对，干嘛不点赞啊？;可恶的城管;,2015/8/16 9:02,rumor
又是临武县出大事了！去年也是这个时候，曾经轰动全世界的临武城管用称坨打死瓜农。这一切的一切太让人恐惧！家长们一定要注意孩子们的安全！这个中国怎么了？那么多坏人！不要求你,,2015/6/24 21:52,rumor
网曝：宁夏中卫市南环路中山街口，城管将数千元草莓倒在地上，市城管局和公安局正在调查。微评：果农进城可以减少流通环节，让市民吃到便宜水果，只是没有经过几道批发零售商的转手，有关部门收不到税。从各地发生的群体性事件能够看出，官吏的贪腐，城管的恶行是造成社会动乱的罪魁祸首。                 ,,2015/4/20 18:25,rumor
城管与果农发生冲突，将数千元草莓倒在地上 - 宁夏中卫市南环路中山街口，城管与果农发生冲突，将数千元草莓倒在地上 http,为什么每次都激化矛盾呢？他们是你的管理对象，不是你的敌人！换个方式管理，效果大不同！;,2015/4/19 20:01,rumor
【日本鬼子又进村了】网友曝料：宁夏中卫市南环路中山街口，城管将数千元草莓倒在地上。农民的血汗钱啊，还有可怜的草莓。,,2015/4/25 17:54,rumor
【日本鬼子又进村了】网友曝料：宁夏中卫市南环路中山街口，城管将数千元草莓倒在地上的事件，中卫市城市管理局正在调查，公安局也以介入调查，请广大网民等待最终调查结果。,;#吖旺传播#;转发微博;,2015/4/20 9:55,rumor
【砸死瓜农城管免职又升官，现任法院副院长】网友称：砸死瓜农后，城管邹红卫遭免职，现官升至法院副院长，带领五名法官街头开展《国家赔偿法》宣传活动。记者昨日致电临武县法院，工作人员称“不接受采访”即挂断电话；临武县委宣传部则称，“不太清楚”。——有一个国家，打死人是竟然可以升官的！,"回复@韩渊论谈:你这智商不用吓我，留着吓自己吧;回复@小张同志的围脖:让一个曾经领导手下人非法剥夺与任性终止他人生命,双手粘满弱势群体鲜血的屠夫,主宰着司法生杀大权，难道你就不怕厄运有一天会降临到你的头上？;回复@湖南平江杨野:不知何为挂职？邹红卫究竟是不是当时打死瓜农时的城管领导？如果是，那究竟该不该承担责任？如果不是，那所谓的挂职就是在干着欺骗党和国家人民，欺骗习总王书，欺天瞒地破坏依法治国国策，实行反人类罪恶勾当。然而它却依然坐上司法主宰，去继续着那个还没有结束的故事,就是以权任性非法终止他人生命;",2015/3/19 22:48,rumor
近日，国内一些网站上出现让人震惊的图片。河北一名16岁高二的女学生赵子娇，惨遭当地城管队员毁容。至今毁容城管队员，没有受到任何处罚。惨不忍睹！。。。河北省16岁女学生惨遭城管毁容！！！这就是中国！！！,回复@你就不要想起我Jr:我下巴都惊呆了 我膝盖都从床上掉下去找下巴了;回复@鹿与长安:帅气的人都在写作业;回复@你就不要想起我Jr:漂亮的人都在看小说;,2015/2/5 21:26,rumor
街头杀狗找城管12319市场杀狗找工商12315狗肉馆找食药监12331 收狗站屠宰场找工商12315只有畜禽执照！非法超范围经营猫狗兽类食用！非法运狗车拦截找110交警！检疫证明非法，问责找市政府12345纪检010-12388 警监 12389 市场杀狗找工商12315,,2015/2/3 16:12,rumor
【爆料：@MC走音】 今天下午4点左右浙江杭州萧山区开发区建设4路与市心北路口， 城管执法，拉走一卖橙吉的小贩车，倒车时，不幸的撞死小贩4岁左右的小孩子。后家属情绪激烈跟特警打起来了 特警出动都有上百号了。,有监控的还能这么睁眼说瞎话;;视频不是很清楚了吗;,2015/1/17 11:40,rumor
重庆一妇女，辛苦拉址三 个小孩，为了给孩子买点肉 吃，为交学费去卖山竹， 命送城管之手！ 《你不转，会脏了你的心 对吗？如果有良心，痛恨 请转发！没良心的就算 了.你就会懂的很多.....》 郑州·北环路南阳路公交站                 ,图片评论 评论配图;他妈的，只是摔伤？！尼玛一个个的滚蛋！！！禽兽不如;目前周老虎的残余势力在反扑。此案不纠正，不平反，反腐纯粹是清除异已;,2014/12/21 21:17,rumor
就在今天下午杭州萧山地区数名城管对卖贩下手，可是下手的是一名男性儿童，导致当场死亡，各位有爱的同志接力下去，一定要曝光这些人，让他们为自己做的一切承担责任@龙港百事通 @赶海的姑娘,不会吧;,2015/1/15 19:28,rumor
【13年7月砸死瓜农城管升官，现任法院副院长】网曝：砸死瓜农后，城管邹红卫遭免职，现官升至法院副院长，带领五名法官街头开展《国家赔偿法》宣传活动。记者致电临武县法院，工作人员称“不接受采访”挂断电话；临武县委宣传部则称：不太清楚。。。呵呵，，这就是我们国家的现实，可你又能奈何？？！,//@最高通俗爱: //@閩南龍夫://@梦郎有话说://@贺金云-:带病晋升——花了多少钱把组织搞定了？;//@社会罗宾汉: //@乌托之帮:转发微博;假的！莫乱造谣！时间地点人物事件原因五W不全，打脸！;,2015/1/14 18:16,rumor
<老人为了保护自已的泥土房被强拆，他挡在挖机前>城管说你不走，就碾死你。结果,真相是这样子的吗？请发文者不要混淆视听误导大众。;操他娘的，又是城管;这是真的吗！好残忍，怎么这样没人性呢！;,2014/12/13 22:45,rumor
分享图片昨天云南省大理州永平县县城某街发生城管暴力执法@央视新闻 @春城晚报 @今日微博头条 @8099999 @都市条形码,回复@永平县城市管理综合行政执法局:此消息由于本人疏忽 未经核实盲目转发 对造成的影响深深道歉;回复@诺邓古镇:此微博 由于我个人未经核实给转发 对此做出道歉;回复@永平一只脚:没核实sorry;,2014/11/3 9:27,rumor
刚到地铁看到这一幕！好心酸！人家就为了讨口饭吃至于你们下这么狠的毒手么.该死的城管，良心被狗吃了么[发怒][发怒] 天通苑,北京的城管也这样暴力了？;,2014/8/26 21:43,rumor
这条他们删帖了@平安北京  今天傍晚19点左右，有网友在北京国贸地铁口看到城管殴打小贩，场面十分惨烈，小贩被打的满地鲜血！后来警察到场，现场目击的一个女孩在向警察描述事件过程，而城管已经大摇大摆离去！ 扩散！！！@央视爆料,,2014/8/27 7:00,rumor
联合国排名世界各国国民素质，中国人民在168个国家中继续保持倒数第二。作为自尊的中国人，我被气得够呛。但昨天看了新闻，又稍觉庆幸：幸亏联合国的评选，发生在昨天乘客打砸深圳机场之前，否则就跃居倒数第一了都说中国城管威武，我咋觉得中国乘客都是城管的亲戚？@海峡都市报 @张天蔚 @东南快报,,2014/4/1 19:28,rumor
平时在广场配枪正常执勤警察叔叔们，人民需要你的时候，第一时间你在哪里?你的＂枪＂在哪里?区区十几个拿着原始作案工具的暴徒竞然能长时间如入无人之境，造成如此大的死伤！进行毫无人性的屠杀!还有高大威猛的＂城管综合执法防暴队＂你们又在哪里?下面是11名罪犯                 ,就是！;;//@古陶瓷收藏交流中心: 这些人该死;,2014/3/2 10:43,rumor
【我大国天朝的城管】河南一妇女为了给孩子凑钱治病，上街卖盗版CD，被城管发现后逃跑，CD被缴后跳入冰冷的水中躲避，城管还不肯放过她，要她把非法所得也交出来，她百般向城管哀求，这是孩子的救命钱，城管丝毫不为所动，不交钱就不许上岸，致使妇女在水中冻了两个小时，最后昏死过去。转                 ,//@独裁统治的秘密: //@李大华V: //@山东临沂孔大华://@胡锦亮伸冤: 人人冷漠，自私，邪恶，无爱心便是今日劫数之源！;http://t.cn/zj1ykWs;//@爱玛乐大象酒: //@休谟的微博://@初八大法师: 这世道，不杀掉这些畜生，行吗！！！;,2013/12/22 20:53,rumor
如果你在街上看到城管暴力执法的话，不用怕，你可以上前理论，城管局有明显的条例，是绝对不可以血腥暴力执法的！城管很怕这些东西！如果对方坚持，你可以拍下来或者打投诉电话！而且现在卖狗肉违法了！ 国家食品药品监督局11月1日开始集中受理狗肉馆举报，举报电话：12331 ．大家扩散出去！                 ,"回复@-温稳行: 我也想举报他;回复@IM_AUBREE:当看不见就好啦 哈哈 别跟连狗都不如的人计较;回复@-温稳行:累的不是我,惨的是狗;",2013/12/9 11:44,rumor
"惠州城管将女小贩扒下了裤子,打致昏迷！ （分享自 @凯迪网络） http",,2013/10/7 10:42,rumor
封建专制时代，大家都避讳“莫谈国事”。不是不谈，是莫谈。一来：这国不是你的，你谈什么谈！二来是：不敢谈…近日，看了一则“惠州城管执法时把女贩的裤子扒下”，实在忍不住爆粗口！“城管执法把女贩的裤子扒下”——是“执法扒裤子”么？！——人手齐抓共扒女贩的裤子是工作需要还是干什么？！,单身人的来由：原来是喜欢一个人；现在是喜欢一个人 >>http://t.cn/zRy5wbz @活色生香xs;,2013/10/2 12:46,rumor
「旧帖新读」＂城管，谁让你这么干的？＂！（@倪方六）日前惠州城管在执法时把女贩的裤子扒下（见图），据说打至昏迷。对与小贩的冲突，城管对媒体解释，女贩拿剪刀刺伤城管。那么多男人对付一个女人，人家不刺你才怪呢。                 ,转发;;有什么必要扒衣服，执法的真可怕，畜生;,2013/9/26 18:51,rumor
伤城管人员违法、但不知道城管合力扒女小贩裤子违法不、电影里鬼子是这样干的！惠州城管和小贩冲突，女小贩拿剪刀刺伤城管，城管先占领了舆论高地，着重强调城管队员被刺伤，媒体就是不提女小贩被扒下了裤子，被打昏迷。惠州小贩刺城管3剪刀后昏迷【高清组图】                 ,,2013/7/8 12:48,rumor
#草尼马这帮人渣# 惠州城管和小贩冲突，女小贩拿剪刀刺伤城管，城管先占领了舆论高地，着重强调城管队员被刺伤，媒体就是不提女小贩被扒下了裤子，被打昏迷。网页链接@中国之声 @东方早报 @这里是美国                 ,这个小贩本来就是男的，却给改了性别，再者，制服一个手持凶器的凶手的过程中，是不是还要细心保护好他的裤子，不要让它掉下来？;,2013/7/6 15:12,rumor
惠州城管和小贩冲突，女小贩拿剪刀刺伤城管，城管先占领了舆论高地，着重强调城管队员被刺伤，媒体就是不提女小贩被扒下了裤子，被打昏迷。惠州小贩刺城管3剪刀后昏迷【高清组图】 我在,,2013/7/7 8:46,rumor
「中青政治学院教授：杨支柱」惠州城管在执法时把女贩的裤子当众扒下的照片在网上流传，网民非常愤怒。计生扒下的女人裤子可比城管多几亿条，却很少有人关注。据说城管也有不少研究课题，怎么不能像计生系统一样研究出一种理论，证明城管当众扒下女人的裤子是很有必要的呢？跟计生相比，城管太无能了。                 ,咋整呀？;这狗日的城管还是不是人，政府怎么全是贪官流氓，大家起来宰了这些狗日的。;如果是他妹他会这样对待吗？//@心飞扬866: //@无锡黄民菊五世://@徐国新0888: //@无锡甜甜: //@觉醒y2011: //@李-云龙: //@全震动:;,2013/10/1 9:51,rumor
【我们不要这样的广告】继俄罗斯人抗议普京举牌“我爸是李刚”后，中国品牌又在非洲打响，非洲某国，为李某某轮奸案竖起了广告牌“这里不是中国，你们想犯罪去中国。”作为崛起的大国，相信今后会有更多中国品牌屹立于全球，如：想特供，去中国当官；想玩幼女，去中国当校长；想打人，去中国当城管。转                 ,转发微博;//@Queen_lala:何以强，缘因～//@演员孙海英://@优游香草山://@大蒙眷爱的但以理: 公义使邦国高举，罪恶是人民的羞辱。（箴14：34）;这非洲图片原文不是China，好像是乌干达，网上已经辟谣过了，提醒大家;,2013/9/4 15:44,rumor
【城管手中再添一人命】2013年7月26日早上8点20分左右。四川省达州万源有一个家庭贫因的17岁在校学生。把 自己在山上捡的野山菌拿到街上来卖，遭到城管殴打，送到医院抢救无效死亡，但目前消息被封锁。 试问正义何在？公理何在？ 求扩散步！！！@假装在西安 @孔智勇- @徐昕 @时评聚焦 @袁腾飞                 ,回复@熊猫冲啊冲:辟谣;四川万源市政府：网传“万源城管打死人”系谣传--法治--人民网 http://t.cn/zQxVJdm 的确是谣传，我就在万源。;TMD这种嚣张谁来管，从根本来说还是这个队伍总体素质低下;,2013/7/26 22:56,rumor
求鉴定是否又是临时工：四川省达州万源17岁在校学生摆卖野生菌 被城管打死 - 【城管手中再添一人命2013年7月26日早上8点20分左右。四川省达州万源有一个家庭贫因的17岁在校学生。把 自己在山上捡的野山菌拿到街上来卖，遭到城管殴打，送到医院抢救无效死亡，但目前消息被封锁。 http,,2013/7/28 22:06,rumor
【城管手中再添一人命】2013年7月26日早上8点20分左右。四川省达州万源有一个家庭贫因的17岁在校学生。把 自己在山上捡的野山菌拿到街上来卖，遭到城管殴打，送到医院抢救无效死亡，但目前消息被封锁。 试问正义何在？公理何在？ 求扩散！！！求公理，求扩散。@1句实话 @新闻已死 @作业本 ,,2013/7/28 15:40,rumor
正气文天祥：@木子七小生 【城管手中再添一人命】2013年7月26日早上8点20分左右。四川省达州万源有一个家庭贫因的17岁在校学生。把 自己在山上捡的野山菌拿到街上来卖，遭到城管殴打，送到医院抢救无效死亡，但目前消息被封锁。 试问正义何在？公理何在？ 求扩散！！！求公理，求扩散。                 ,,2013/7/28 0:15,rumor
[转载]四川达州城管打死学生千人围堵市委(组图) [转载]四川达州城管打死学生      千人围堵市委(组图),;,2013/7/28 16:13,rumor
四川大学生假期摆摊打工遭数名城管殴打致死 http,,2013/7/29 15:54,rumor
  2013年7月26日早上，四川达州万源市，城管暴力执法，打死一名靠卖野生蘑菇挣学费的19岁学生。  27日，死者亲友及同学高举“万源市城管群殴一学生，... ——看到老常的博文《[转载]四川达州城管打死学生 千人围堵市委(组图)》有感而发的评论。[转载]四川达州城管打死学生 千人围堵市委(组图),,2013/7/28 19:17,rumor
分享自岁月如歌  《[转载]四川达州城管打死学生 千人围堵市委(组图)》 - 原文地址：四川达州城管打死学生 千人围堵市委(组图)作者：competa2013年7月26日早上，四川达州万源市，城管暴...  (来自 @头条博客) - [转载]四川达州城管打死学生千人围堵市委(组图)                  ,新华网已发布新闻辟谣。http://t.cn/zQJ7sbC;,2013/7/28 19:03,rumor
孩子啊，妈去街上卖点山竹，挣完钱了给你买点肉吃，娘知道你一星期没吃到肉啦。”重庆一妇女对她孩子说。孩子开心回答：“好啊，好啊，中午我在家先洗菜淘米，等你回家来烧饭哦”——想不到半路上遇到城管执法把她推下台阶成了永别！旁边的小贩说，这名妇女卖水果辛苦拉扯3个孩子。                 ,"转发抽奖@关注我们 转发主页活动奖2斤车厘子活动,淘宝开店特价秒杀,动动手指抽车厘子免费吃;转发微博;这个世界怎么了;",2013/7/27 21:35,rumor
【万源城管打死卖蘑菇学生 千人围堵市委讨还公道】昨天早上，达州万源城管暴力执法，打死卖蘑菇挣学费的穷苦学生。今天上午，死者亲友、同学高举“天理难容”的横幅，在市委门口请愿，要求秉公执法、严惩凶手！逾千市民赶来声援，大批警察、武警与群众对峙，将追讨公道的市民强行驱散……,城管?.呼唤杨大侠!;好友周末愉快;//@法外正气: //@南阳奥奔小杨11：//@爱欣萝卜: //@SI天使: 千辛万苦卖磨姑得几文？一言不语被打死莫理由！横批：血色磨姑;,2013/7/27 17:11,rumor
《有消息四川万源卖蘑菇被打伤学生已经死亡》 孩子高考600多分，考入重本。家境贫寒，将爷爷采的蘑菇来城里卖，以拼凑学费，被城管殴打致死。老百姓围了市政府！中国特色的城管狂妄无忌，视百姓的生命财产如草芥，将暴政展现的淋漓尽致。请网友转起来，为这个无助的家庭讨还公道！,?.--老婆出轨和上司偷情，这是我捉jian时拍到的。。。。。。。 http://t.cn/RZQaKKM .......来;居然敢在野外野战，还有没有羞耻感。。。。。。 http://t.cn/RZhg62P;回复@慈鸣少音:;,2013/7/27 14:18,rumor
城管群殴一名勤工俭学的学生将其打死！天涯社区网：2013年7月26日8点，四川省万源市河街一名靠卖野生蘑菇挣学费的17岁学生，被一群城管群殴，其中一名城管用秤砣击打学生头部数下，导致大量出血在送往医院抢救的途中不治身亡，一个17岁少年梦想才刚刚起步，就这样断送在这群野狼的手中！                 ,;四川万源市政府：网传“万源城管打死人”系谣传--法治--人民网 http://t.cn/zQxVJdm 的确是谣传，我就在万源。;//@没有北京户口: 这帮狗杂种，是谁给了他们这种权利！？丧尽天良，终会受报应的！//@自由耀颖: 我靠，又是城管，又是秤砣。 //@香港卫视:转发微博;,2013/7/27 7:30,rumor
 【城管手中再添一人命]】2013年7月26日早上8点20分左右。四川省达州万源有一个家庭贫因的17岁在校学生。把 自己在山上捡的野山菌拿到街上来卖，遭到城管殴打，送到医院抢救无效死亡，但目前消息被封锁。 天理何在？ 我在,,2013/7/27 20:19,rumor
【又是秤砣，网传万源城管打死17岁学生！】 网友@曾小贤Alan 爆料：26日早上8点20分左右。四川省达州万源有一个家庭贫因的17岁在校学生，把自己在山上捡的野山菌拿到街上来卖，遭到城管用秤砣击打学生头部数下，导致大量出血在送往医院抢救的途中不治身亡，但目前消息被封锁。（@直播成都）                 ,建议他爸妈，直接去北京，早上升旗的时候开闹。还不信没人管了！;真的？！！;是真的;,2013/7/27 9:19,rumor
昨天城管打死卖野菜学生事件，据说又用的是神秘武器：秤砣！                 ,还不删？[lxhx挠]//@点子正: 挂贱人;比删除了好——清清楚楚的告诉人们，谣言是怎么回事。//@静心_境心: @微博管理员 就是这么处理不实消息的？！//@点子正: 挂贱人;最近流行打老鼠了？;,2013/7/27 1:25,rumor
【城管手中再添一人命】2013年7月26日早上8点20分左右。四川省达州万源有一个家庭贫因的17岁在校学生。把 自己在山上捡的野山菌拿到街上来卖，遭到城管殴打，送到医院抢救无效死亡，但目前消息被封锁。 试问正义何在？公理何在？ 求扩散步！！！@杂谈五味 @香港報紙                 ,回复@我是水哥_别开枪:😂我他妈现在正打算移民;无风不起浪！内容不真简直就是放屁，人命关天不做解释吗？更是放屁，估计你家小孩没有屁眼，该有的屁都没你放了，本来不想骂人的，看到你他妈做事太果断了！;无风不起浪！内容不真简直就是放屁，人命关天不做解释吗？更是放屁，估计你家小孩没有屁眼，该有的屁都没你放了，本来不想骂人的，看到你他妈做事太果断了;,2013/7/26 19:03,rumor
【逆天了，城管打死17岁学生】 2013年7月26日早上8点20分左右。四川省达州万源有一个家庭贫因的17岁在校学生。把 自己在山上捡的野山菌拿到街上来卖，遭到城管殴打，送到医院抢救无效死亡，但目前消息被封锁。公理何在？  VIA @丁来峰                 ,转发微博;畜生，遭狗日勒！//@清鬼刺青-火力: 日你妈中国要逆天是不是？老子真的想把这些杂碎千刀万剐！！恨啊;@Camille鲁鲁 达州娃儿。。。;,2013/7/27 8:58,rumor
今天终于亲眼见到了城管暴力执法，真是往死里打啊！一群年轻力壮的城管围殴一个板车小贩，而且下死手，根本不管是不是要害。图中人已经被按在车上了，后脑、脊柱等致命部位暴露无遗。如果不是围观群众上来解围恐怕非死即残。山东那哥们必然也是这么被打残废的。vi a@赖小特特                  ,回复@车厘子Fleury:应该会比现状好点;回复@上铺的同志:学历不等于素质!;一群土匪么;,2013/7/22 11:21,rumor
顶！// 本是同根生，相煎何太急，今天发生在弱民身上，明天他的儿子可能就要你父亲的命【今天终于亲眼见到了城管暴力执法，...】！http,,2013/7/22 15:13,rumor
今天终于亲眼见到了城管暴力执法，真是往死里打啊！ - 今天终于亲眼见到了城管暴力执法，真是往死里打啊！一群年轻力壮的城管围殴一个板车小贩，而且下死手，根本不管是不是要害。发博当事人还称：地点就西直门。我手机差点被砸。网友吐槽：这两天已经被城管黑的，无...   http,,2013/7/22 22:10,rumor
 【今天终于亲眼见到了城管暴力执法，...】今天终于亲眼见到了城管暴力执法，真是往死里打啊！一群年轻力壮的城管围殴一个板车小贩，...！ http,,2013/7/22 22:43,rumor
